projectid,teacher_acctid,schoolid,school_ncesid,school_latitude,school_longitude,school_city,school_state,school_zip,school_metro,school_district,school_county,school_charter,school_magnet,school_year_round,school_nlns,school_kipp,school_charter_ready_promise,teacher_prefix,teacher_teach_for_america,teacher_ny_teaching_fellow,primary_focus_subject,primary_focus_area,secondary_focus_subject,secondary_focus_area,resource_type,poverty_level,grade_level,fulfillment_labor_materials,total_price_excluding_optional_support,total_price_including_optional_support,students_reached,eligible_double_your_impact_match,eligible_almost_home_match,date_posted
316ed8fb3b81402ff6ac8f721bb31192,42d43fa6f37314365d08692e08680973,c0e6ce89b244764085691a1b8e28cb81,63627006187,36.57634,-119.608713,Selma,CA,93662,,Selma Unified Sch District,Fresno,f,f,f,f,f,f,Mrs.,f,f,Literature & Writing,Literacy & Language,College & Career Prep,Applied Learning,Books,highest poverty,Grades 6-8,30,555.81,653.89,32,f,f,5/12/2014
90de744e368a7e4883223ca49318ae30,864eb466462bf704bf7a16a585ef296a,d711e47810900c96f26a5d0be30c446d,4.83702E+11,32.911179,-96.72364,Dallas,TX,75243,urban,Richardson Ind School District,Dallas,f,f,f,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,ESL,Literacy & Language,Books,highest poverty,Grades PreK-2,30,296.47,348.79,22,f,f,5/12/2014
32943bb1063267de6ed19fc0ceb4b9a7,37f85135259ece793213aca9d8765542,665c3613013ba0a66e3a2a26b89f1b68,4.10327E+11,45.166039,-122.414576,Colton,OR,97017,rural,Colton School District 53,Clackamas,f,f,f,f,f,f,Mr.,f,f,Literacy,Literacy & Language,Mathematics,Math & Science,Technology,high poverty,Grades PreK-2,30,430.89,506.93,17,f,f,5/11/2014
bb18f409abda2f264d5acda8cab577a9,2133fc46f951f1e7d60645b0f9e48a6c,4f12c3fa0c1cce823c7ba1df57e90ccb,3.60015E+11,40.641727,-73.965655,Brooklyn,NY,11226,urban,New York City Dept Of Ed,Kings (Brooklyn),f,t,f,f,f,f,Mr.,t,f,Social Sciences,History & Civics,Special Needs,Special Needs,Books,highest poverty,Grades 3-5,30,576.07,677.73,12,f,f,5/11/2014
24761b686e18e5eace634607acbcc19f,867ff478a63f5457eaf41049536c47cd,10179fd362d7b8cf0e89baa1ca3025bb,62271003157,34.043939,-118.288371,Los Angeles,CA,90006,urban,Los Angeles Unif Sch Dist,Los Angeles,f,f,f,f,f,f,Ms.,f,f,Mathematics,Math & Science,Literacy,Literacy & Language,Other,highest poverty,Grades PreK-2,30,408.4,480.47,24,f,f,5/11/2014
eac7d156205f1333de3887d656f46611,ff064802c18e68db7ddb7ea0bf7732e8,929336e5a242d2e67f1a591196ba7701,40187001058,33.298792,-111.827793,Chandler,AZ,85225,suburban,Chandler Unif School Dist 80,Maricopa,f,f,t,f,f,f,Mrs.,f,f,Literature & Writing,Literacy & Language,ESL,Literacy & Language,Technology,highest poverty,Grades 3-5,30,750.92,883.44,20,f,f,5/11/2014
5a3bfdf2e05781ccd0654dee0d51d1cd,085794a9e315b88cb7aec548831572f5,dc34b021fd177cfdb22f22055ca9d04f,10060000256,32.838778,-85.517527,Lafayette,AL,36862,rural,Chambers Co School District,Chambers,f,f,f,f,f,f,Mr.,f,f,Gym & Fitness,Health & Sports,,,Supplies,highest poverty,Grades PreK-2,30,2291.48,2695.86,320,f,f,5/11/2014
afda16eb54d8992db7bb42923b2a0c69,1d94a31c2dc38d51350eb26a4a2d892c,86fff7caa07e4f595a716d8a1960f09e,1.30129E+11,33.896013,-84.554213,Marietta,GA,30060,,Cobb Co School District,Cobb,f,f,f,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,,,Books,highest poverty,Grades PreK-2,30,459.36,540.42,18,f,f,5/11/2014
2ab3efb23acc84017cd7896f62c2e889,5a497c425e05bb193564ef3ce2cbf3b6,ed170a147cd8ee2391b54b2f8b206160,2.612E+11,42.422054,-83.209656,Detroit,MI,48235,urban,Detroit Public School District,Wayne,t,f,f,f,f,f,Ms.,f,f,Literacy,Literacy & Language,,,Technology,highest poverty,Grades PreK-2,30,325.39,382.81,25,f,f,5/11/2014
3118962680bb062323c3566197487315,eb0855cc6ea55d173ca8f8e4fd6a9e18,71b4dee33799c2111773bb4444766bf0,3.40264E+11,39.951767,-75.117188,Camden,NJ,8102,urban,Camden City School District,Camden,f,f,f,f,f,f,Mr.,f,f,College & Career Prep,Applied Learning,,,Technology,highest poverty,Grades PreK-2,30,567.84,668.05,28,f,f,5/11/2014
ed758904cb855e09afc2ffa512fcc393,dd468ba7670637c06afb1a9af8aa7d17,25baeaff8836051c274fa1cd2a260e48,62271010879,34.076739,-118.304313,Los Angeles,CA,90004,urban,Los Angeles Unif Sch Dist,Los Angeles,f,f,f,f,f,f,Mrs.,f,f,Literacy,Literacy & Language,Social Sciences,History & Civics,Other,high poverty,Grades 3-5,30,203.86,239.84,30,f,f,5/11/2014
30eee62287c7a0df669eb1fc46410620,e910131d9715a25f5913d335110ee655,37ba0fbd78fc9d8824c79ee9e705ab2d,3.70333E+11,34.196528,-77.844691,Wilmington,NC,28409,urban,New Hanover Co School District,New Hanover,f,f,f,f,f,f,Ms.,f,f,Special Needs,Special Needs,,,Technology,high poverty,Grades 3-5,30,1791.78,2107.98,15,f,f,5/11/2014
